reporting_start,campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
Saturday,936,45,M,15,19,18,818,0,0,1,0
Friday,936,30,M,21,27,25,351,0,0,1,0
Saturday,936,45,M,22,24,26,572,0,0,1,0
Saturday,936,30,M,30,35,36,219,0,0,1,0
Saturday,936,30,M,32,37,37,550,0,0,1,0
Friday,936,30,M,26,30,31,465,0,0,1,0
Wednesday,936,30,M,64,67,70,429,0,0,1,0
Friday,936,35,M,28,30,33,460,0,0,1,0
Friday,936,35,M,28,29,32,471,0,0,1,0
Friday,936,30,M,27,32,30,199,0,0,1,0
Tuesday,936,35,M,32,33,38,398,0,0,1,0
Saturday,936,45,M,36,38,40,255,0,0,1,0
Saturday,936,30,F,16,22,17,3189,0,0,1,0
Saturday,936,30,F,16,20,21,3348,0,0,1,0
Saturday,936,45,M,16,18,19,2254,0,0,1,0
Saturday,936,35,F,15,16,17,699,0,0,1,0
Saturday,936,35,F,10,12,13,1104,0,0,1,0
Monday,936,30,F,27,33,32,843,0,0,1,0
Tuesday,936,30,F,25,30,28,696,0,0,1,0
Monday,936,45,F,20,22,21,259,0,0,1,0
Monday,936,30,F,18,21,22,1134,0,0,1,0
Sunday,936,40,F,27,32,28,357,0,0,1,0
Monday,936,35,F,10,15,14,1107,0,0,1,0
Thursday,936,45,F,26,30,29,781,0,0,1,0
Thursday,936,35,F,16,17,22,2226,0,0,1,0
Friday,936,30,F,20,26,25,487,0,0,1,0
Tuesday,936,40,F,27,30,30,415,0,0,1,0
Thursday,916,30,M,20,25,22,693,0,0,1,0
Wednesday,916,30,M,31,37,34,1224,0,0,1,0
Tuesday,916,30,M,7,8,8,735,0,0,1,0
Tuesday,916,30,M,16,20,22,5117,0,0,1,0
Tuesday,916,30,M,16,19,21,5120,0,0,1,0
Friday,916,35,M,7,12,10,559,0,0,1,0
Friday,916,40,M,16,19,20,2861,0,0,1,0
Thursday,916,30,F,18,24,22,1473,0,0,1,0
Tuesday,916,30,F,27,33,32,1186,0,0,1,0
Saturday,916,30,F,63,64,68,1185,0,0,1,0
Saturday,916,45,F,19,25,23,292,0,0,1,0
Wednesday,1178,30,M,31,32,33,14289,0,0,1,0
Thursday,1178,30,M,66,67,69,10991,0,0,1,0
Tuesday,1178,35,M,26,28,27,7573,0,0,1,0
Tuesday,1178,35,M,29,31,35,9921,0,0,1,0
Monday,1178,40,M,21,27,22,7073,0,0,1,0
Thursday,916,30,M,15,16,17,15615,3,4.769999981,1,0
Thursday,916,30,M,27,31,31,2355,1,1.5,1,0
Wednesday,916,30,M,28,32,32,4259,1,1.25,1,0
Wednesday,916,30,M,28,32,31,9502,3,3.159999967,1,0
Wednesday,916,30,M,30,34,31,2305,1,0.569999993,1,0
Wednesday,916,35,M,15,16,17,4627,1,1.690000057,1,0
Thursday,916,35,M,15,17,19,7132,2,2.609999895,1,0
Friday,916,35,M,16,22,22,12190,2,3.049999952,1,0
Saturday,916,40,M,16,19,20,19113,4,5.5200001,1,0
Thursday,916,45,M,16,22,17,47224,12,15.82000017,1,0
Thursday,916,45,M,24,26,27,2283,1,1.470000029,1,0
Friday,916,30,F,15,19,16,5014,1,1.190000057,1,0
Friday,916,30,F,16,19,20,38726,7,9.220000267,1,0
Tuesday,916,30,F,15,19,17,5369,1,1.50999999,1,0
Saturday,916,30,F,65,70,68,13019,5,6.960000038,1,0
Sunday,916,35,F,25,29,26,2508,1,1.220000029,1,0
Sunday,916,35,F,20,26,23,2783,1,1.600000024,1,0
Saturday,916,45,F,63,67,65,17572,7,9.379999995,1,0
Saturday,936,30,M,15,19,17,13659,3,3.840000033,1,0
Tuesday,936,35,M,27,29,32,10332,4,5.75,1,0
Tuesday,936,35,M,28,29,31,8259,3,3.980000019,1,0
Tuesday,936,35,M,29,35,31,12158,3,4.449999928,1,0
Monday,936,45,M,29,30,35,10466,3,4.090000033,1,0
Monday,936,30,F,26,30,29,13479,3,4.25,1,0
Sunday,936,30,F,29,32,31,11803,3,4.440000057,1,0
Sunday,936,35,F,27,32,32,20277,6,8.050000072,1,0
Saturday,936,40,F,26,27,31,6907,2,2.349999964,1,0
Saturday,936,40,F,27,28,30,39035,13,19.32999957,1,0
Saturday,936,40,F,63,66,67,4412,1,1.450000048,1,0
Monday,936,40,F,64,65,66,9965,3,4.050000072,1,0
Monday,936,45,F,10,16,11,73634,23,32.97999978,1,0
Friday,936,45,F,15,17,17,69708,20,31.28999949,1,0
Friday,936,45,F,20,24,25,14257,6,8.789999962,1,0
Friday,936,45,F,27,29,33,12215,4,6.26000011,1,0
Friday,936,30,M,2,6,8,2338,1,0.239999995,1,0
Monday,936,30,M,28,29,29,3891,1,1.090000033,1,0
Monday,936,35,M,16,19,18,11199,2,2.680000067,1,0
Friday,936,35,M,63,64,66,5676,2,3.00999999,1,0
Monday,936,45,M,16,22,17,45401,10,14.06000042,1,0
Friday,936,45,M,18,19,24,4919,1,1.590000033,1,0
Sunday,936,30,F,16,21,22,17553,3,4.590000153,1,0
Sunday,936,30,F,20,26,24,3343,1,0.540000021,1,0
Monday,936,45,F,24,26,30,944,1,1.419999957,1,0
Friday,936,30,M,10,16,14,7208,2,3.190000057,1,0
Friday,936,30,M,16,22,20,12489,2,1.960000038,1,0
Friday,936,45,M,16,21,17,12186,2,2.669999957,1,0
Friday,936,30,F,16,21,20,25884,5,7.350000143,1,0
Friday,936,30,F,22,24,24,28488,10,9.340000033,1,0
Thursday,936,30,F,26,32,32,10126,3,4.619999886,1,0
Thursday,936,30,F,27,32,33,22572,5,8.5,1,0
Thursday,936,35,F,25,31,27,4868,2,2.420000076,1,0
Thursday,936,35,F,26,27,32,6585,2,2.950000048,1,0
Thursday,936,35,F,29,31,35,11182,4,4.449999809,1,0
Friday,936,40,F,16,19,18,34127,8,13.07000017,1,0
Saturday,936,40,F,16,18,21,38759,9,10.84999967,1,0
Saturday,936,45,F,15,16,17,18602,5,8.860000134,1,0
Sunday,936,45,F,16,18,21,25194,6,7.349999905,1,0
Sunday,936,45,F,16,22,18,78627,19,26.53000045,1,0
Saturday,936,45,F,27,31,32,9240,3,6.039999962,1,0
Friday,936,45,F,29,32,33,7706,2,2.369999886,1,0
Friday,936,45,F,16,21,20,119063,34,53.21999949,1,0
Saturday,936,45,F,16,19,20,452398,114,180.2200012,1,0
Saturday,936,45,F,10,12,16,191223,48,76.41000056,1,0
Saturday,936,45,F,10,15,14,22216,6,9.549999952,1,0
Wednesday,936,45,F,10,12,11,48291,11,18.01999998,1,0
Wednesday,936,40,F,63,66,67,27559,8,13.37,1,0
Monday,936,45,F,21,25,22,40126,16,25.86000001,1,0
Monday,936,30,M,16,21,20,16425,1,1.549999952,1,0
Monday,936,45,F,26,31,28,175389,55,81.60999787,1,0
Monday,936,45,F,65,71,67,70702,20,31.7099998,1,0
Monday,936,45,F,63,69,67,15105,3,4.25999999,1,0
Monday,936,30,F,15,16,19,8774,1,1.830000043,1,0
Monday,936,30,F,16,18,22,14459,1,1.389999986,1,0
Tuesday,936,30,F,16,17,18,21596,2,2.809999943,1,0
Tuesday,936,30,F,16,21,17,66765,8,11.04999971,1,0
Wednesday,936,30,F,10,13,14,26910,5,7.229999781,1,0
Wednesday,936,45,M,63,66,68,11988,3,4.269999862,1,0
Wednesday,936,40,M,29,35,33,10960,2,2.890000105,1,0
Wednesday,936,30,M,16,18,22,15466,1,0.970000029,1,0
Tuesday,936,30,M,16,18,22,27072,3,4.370000005,1,0
Tuesday,936,40,M,16,17,21,18709,2,3.319999933,1,0
Tuesday,936,40,M,23,26,27,2479,1,1.25999999,1,0
Tuesday,936,40,M,2,4,3,3812,2,3.049999952,1,0
Tuesday,936,40,M,10,14,16,12356,4,6.279999971,1,0
Wednesday,936,45,M,18,23,20,7410,1,1.210000038,1,0
Wednesday,936,45,M,16,20,19,140098,28,46.63000011,1,0
Tuesday,936,45,M,16,18,20,107021,20,34.44000012,1,0
Tuesday,936,35,M,36,38,40,2797,1,1.289999962,1,0
Tuesday,936,45,M,7,9,12,16461,6,9.21999979,1,0
Wednesday,936,40,M,63,66,69,17488,5,7.719999909,1,0
Wednesday,936,30,M,64,70,69,12729,4,5.779999852,1,0
Thursday,936,30,F,7,9,10,3989,1,1.279999971,1,0
Friday,936,40,M,24,26,27,3047,1,1.379999995,1,0
Thursday,936,45,M,29,34,32,19537,5,6.099999905,1,0
Wednesday,936,40,M,16,19,19,23769,4,6.029999852,1,0
Wednesday,936,30,M,20,26,23,4616,1,1.360000014,1,0
Monday,936,35,M,27,29,28,14615,4,6.050000191,1,0
Monday,936,30,M,26,30,32,15910,5,6.779999852,1,0
Monday,936,30,M,28,32,31,9388,2,3.140000105,1,0
Sunday,936,40,F,27,31,30,8152,1,0.99000001,1,0
Sunday,936,40,F,27,32,28,74542,19,34.1500001,1,0
Sunday,936,40,F,20,21,23,6699,2,3.090000033,1,0
Sunday,936,40,F,20,25,24,11911,4,3.959999919,1,0
Sunday,936,40,F,18,24,20,24188,5,8.179999828,1,0
Tuesday,936,40,F,22,23,25,10750,4,5.389999866,1,0
Wednesday,936,35,F,64,70,67,41785,14,19.10000038,1,0
Wednesday,936,35,F,63,65,65,5602,1,1.580000043,1,0
Tuesday,936,35,F,27,33,28,112460,25,41.29000068,1,0
Monday,936,35,F,30,35,36,14670,7,9.410000324,1,0
Monday,936,30,F,64,66,69,33144,9,13.40999985,1,0
Tuesday,936,45,M,64,68,70,4397,1,0.949999988,1,0
Tuesday,936,35,F,10,13,16,89527,24,32.28999996,1,0
Saturday,936,35,F,16,19,18,9730,1,1.379999995,1,0
Tuesday,936,30,F,16,21,20,27289,3,4.429999828,1,0
Tuesday,936,30,F,29,32,33,20409,4,3.829999924,1,0
Tuesday,936,30,F,29,32,34,8044,1,1.110000014,1,0
Tuesday,936,30,F,28,32,33,15645,4,5.349999905,1,0
Tuesday,936,45,M,7,13,9,9375,3,4.019999981,1,0
Tuesday,936,30,F,18,23,24,8469,2,3.089999914,1,0
Monday,936,35,M,16,17,21,25817,4,6.019999981,1,0
Monday,936,45,F,29,35,34,24542,7,9.329999924,1,0
Tuesday,936,30,F,64,65,68,13621,3,4.090000033,1,0
Thursday,936,45,F,18,23,22,17167,5,6.910000086,1,0
Thursday,936,30,F,22,25,25,24491,7,9.539999962,1,0
Wednesday,936,30,F,23,24,25,6469,2,1.309999943,1,0
Wednesday,936,30,F,21,27,26,4706,1,1.220000029,1,0
Wednesday,936,40,F,22,26,25,5794,2,2.269999981,1,0
Wednesday,936,40,F,18,24,22,4813,1,1.029999971,1,0
Wednesday,936,40,F,10,15,11,85285,26,36.13000035,1,0
Monday,936,40,F,10,11,13,5839,1,1.370000005,1,0
Monday,936,40,F,15,16,21,5859,1,1.539999962,1,0
Friday,936,40,F,16,22,19,164118,41,59.06999993,1,0
Friday,936,35,F,63,67,69,18234,6,7.810000062,1,0
Saturday,936,35,F,27,29,30,73676,20,28.5,1,0
Saturday,936,35,F,27,30,28,18421,7,10.07999992,1,0
Saturday,936,35,F,10,14,16,6424,1,0.529999971,1,0
Friday,936,35,M,15,21,20,6412,1,1.370000005,1,0
Thursday,936,30,F,63,68,64,5040,1,1.440000057,1,0
Friday,936,35,M,20,21,24,8200,3,3.919999957,1,0
Friday,936,45,F,26,28,30,115896,38,49.44000006,1,0
Sunday,936,30,M,18,21,21,6142,1,1.330000043,1,0
Sunday,936,30,M,24,30,29,9142,3,3.749999881,1,0
Monday,936,30,F,18,24,20,5704,1,1.320000052,1,0
Saturday,936,30,F,28,34,31,4783,1,0.860000014,1,0
Saturday,936,30,F,29,31,30,6475,1,1.350000024,1,0
Sunday,936,45,F,10,12,11,33664,11,12.51000035,1,0
Sunday,936,40,F,28,29,30,7337,3,4.079999924,1,0
Friday,936,40,F,27,33,30,11244,3,4.550000191,1,0
Wednesday,936,35,F,26,31,32,6532,1,1.610000014,1,0
Wednesday,936,40,F,10,16,15,11537,3,4.300000191,1,0
Wednesday,936,40,F,10,13,11,12183,3,2.869999945,1,0
Wednesday,936,30,M,10,12,13,4012,1,1.570000052,1,0
Tuesday,936,30,M,16,22,19,15720,1,1.379999995,1,0
Wednesday,936,45,M,16,22,22,5537,1,1.519999981,1,0
Saturday,936,45,M,21,25,25,1909,1,0.980000019,1,0
Saturday,936,40,M,36,41,40,1884,1,1.409999967,1,0
Friday,936,35,M,28,29,32,2633,1,1.070000052,1,0
Saturday,936,30,F,10,13,13,5517,1,1.230000019,1,0
Friday,936,30,F,64,70,69,3717,1,1.539999962,1,0
Sunday,936,30,F,28,31,32,2749,1,1.389999986,1,0
Monday,936,30,F,25,28,26,2983,1,0.970000029,1,0
Monday,936,45,F,16,17,21,20997,10,11.94999981,1,0
Monday,936,45,F,16,18,17,4617,1,1.360000014,1,0
Sunday,936,40,F,10,15,13,3149,1,1.480000019,1,0
Sunday,936,35,F,27,28,31,2563,1,1.480000019,1,0
Sunday,936,45,F,64,65,65,10677,5,7.269999981,1,0
Sunday,936,35,F,22,25,26,2189,1,0.409999996,1,0
Sunday,936,45,F,27,32,29,3277,2,2.680000067,1,0
Friday,936,45,F,10,12,13,5447,2,2.960000038,1,0
Tuesday,1178,30,M,15,18,18,30068,1,1.820000052,1,0
Sunday,1178,30,M,18,23,23,31349,2,3.800000072,1,0
Monday,1178,30,M,22,25,23,25002,1,1.710000038,1,0
Monday,1178,30,M,22,27,28,68905,5,9.440000057,1,0
Monday,1178,30,M,22,26,26,169588,16,27.79999924,1,0
Monday,1178,30,M,23,29,27,23198,2,2.980000019,1,0
Monday,1178,30,M,23,24,27,26890,2,3.24000001,1,0
Saturday,1178,30,M,25,27,28,50523,6,8.549999952,1,0
Sunday,1178,30,M,26,30,28,87935,9,15.63000023,1,0
Sunday,1178,30,M,26,28,29,209461,20,34.19000006,1,0
Tuesday,1178,30,M,27,31,29,283858,30,56.05999923,1,0
Wednesday,1178,30,M,28,34,33,38757,3,5.220000029,1,0
Wednesday,1178,30,M,30,32,31,223586,32,54.24000037,1,0
Tuesday,1178,30,M,30,31,34,41636,3,4.210000038,1,0
Tuesday,1178,30,M,31,37,35,64020,5,11.0599997,1,0
Tuesday,1178,30,M,32,34,36,57690,4,6.74000001,1,0
Sunday,1178,30,M,36,37,39,38900,3,5.580000043,1,0
Tuesday,1178,30,M,36,37,40,29185,2,3.149999976,1,0
Tuesday,1178,30,M,63,64,67,20423,1,1.960000038,1,0
Tuesday,1178,30,M,64,67,65,103001,14,22.32000005,1,0
Wednesday,1178,30,M,64,70,67,93015,12,18.47000015,1,0
Tuesday,1178,30,M,65,70,68,145398,23,36.24000025,1,0
Thursday,1178,30,M,66,68,70,175631,23,40.75999951,1,0
Thursday,1178,30,M,66,68,70,37187,4,6.370000005,1,0
Thursday,1178,35,M,10,14,13,98066,9,16.1500001,1,0
Thursday,1178,35,M,10,16,14,52553,5,8.529999852,1,0
Monday,1178,35,M,21,23,22,21743,2,3.400000095,1,0
Sunday,1178,35,M,23,28,28,64647,10,16.26999998,1,0
Sunday,1178,35,M,23,27,24,31265,4,5.789999902,1,0
Sunday,1178,35,M,23,26,27,223120,40,67.66999984,1,0
Monday,1178,35,M,23,29,27,104869,18,34.07000089,1,0
Sunday,1178,35,M,24,29,29,84194,11,19.56999981,1,0
Tuesday,1178,35,M,26,29,27,99961,14,23.2099998,1,0
Wednesday,1178,35,M,28,33,31,358987,52,87.55000067,1,0
Tuesday,1178,35,M,30,31,35,49422,6,11.17000031,1,0
Tuesday,1178,35,M,31,32,36,15513,1,1.289999962,1,0
Thursday,1178,35,M,64,68,70,24992,2,3.190000057,1,0
Wednesday,1178,35,M,7,10,9,28989,2,2.290000021,1,0
Thursday,1178,35,M,66,68,68,38580,5,8.519999981,1,0
Thursday,1178,40,M,16,22,22,315281,35,65.02999854,1,0
Thursday,1178,40,M,20,21,25,140596,23,40.77000022,1,0
Saturday,1178,40,M,22,24,24,180815,31,42.62999976,1,0
Saturday,1178,40,M,22,26,23,253169,51,75.78999984,1,0
Saturday,1178,40,M,23,25,26,51550,8,14.03999984,1,0
Saturday,1178,40,M,23,28,24,110018,24,39.85999966,1,0
Saturday,1178,40,M,24,28,30,137584,21,36.77999961,1,0
Saturday,1178,40,M,24,25,27,209825,30,54.86999953,1,0
Saturday,1178,40,M,26,30,31,31202,5,6.730000019,1,0
Friday,1178,40,M,27,31,30,56265,9,15.53999972,1,0
Friday,1178,40,M,29,32,33,214094,31,53.26999903,1,0
Monday,1178,40,M,36,38,37,59004,8,13.51000011,1,0
Monday,1178,40,M,36,40,39,196253,32,55.10000002,1,0
Sunday,1178,40,M,64,65,67,109289,19,31.02999997,1,0
Sunday,1178,40,M,2,6,3,32574,5,7.480000019,1,0
Sunday,1178,40,M,66,72,68,9773,1,1.460000038,1,0
Thursday,916,30,M,28,33,32,4133,1,1.289999962,1,1
Thursday,916,30,M,16,20,18,10951,1,1.269999981,1,1
Wednesday,916,30,M,20,26,23,14669,7,10.28000021,1,1
Friday,916,35,M,16,22,20,12193,2,3.059999943,1,1
Friday,916,35,M,29,33,32,7440,2,2.980000019,1,1
Saturday,916,40,M,16,21,21,10976,2,1.690000057,1,1
Friday,916,40,M,16,18,20,23817,7,8.470000148,1,1
Thursday,916,45,M,21,26,24,2182,1,1.529999971,1,1
Thursday,916,30,F,16,21,20,57665,14,18.06999969,1,1
Friday,916,30,F,32,37,38,3091,1,1.610000014,1,1
Sunday,916,30,F,29,33,31,22221,7,9.430000067,1,1
Sunday,916,35,F,27,31,29,5864,2,2.799999952,1,1
Sunday,916,45,F,10,16,11,11199,4,5.730000019,1,1
Friday,936,30,M,10,16,13,13329,4,5.629999995,1,1
Sunday,936,35,M,10,11,16,4423,1,1.460000038,1,1
Tuesday,936,35,M,16,19,19,12382,2,2.839999914,1,1
Tuesday,936,35,M,20,25,24,2938,1,1.350000024,1,1
Monday,936,30,F,10,13,13,5576,1,1.529999971,1,1
Monday,936,30,F,16,22,17,39337,7,10.03000009,1,1
Saturday,936,30,F,27,28,32,5453,1,1.389999986,1,1
Sunday,936,30,F,31,32,34,4259,1,1.570000052,1,1
Sunday,936,30,F,64,69,67,5323,1,1.289999962,1,1
Sunday,936,35,F,10,11,12,5024,1,1.409999967,1,1
Sunday,936,35,F,22,25,27,8504,3,3.340000093,1,1
Saturday,936,35,F,29,34,30,12403,4,5.210000038,1,1
Friday,936,45,F,27,30,30,20362,5,9.119999886,1,1
Monday,936,40,M,30,34,33,2148,1,1.580000043,1,1
Friday,936,45,M,18,23,20,7478,2,2.900000095,1,1
Sunday,936,30,F,27,29,32,34740,7,13.41000009,1,1
Sunday,936,35,F,31,36,36,3010,1,0.860000014,1,1
Saturday,936,40,F,10,16,12,27081,9,10.77000046,1,1
Saturday,936,40,F,18,20,24,21664,7,10.61999977,1,1
Saturday,936,40,F,19,21,20,9112,4,5.460000038,1,1
Saturday,936,45,F,10,16,12,46150,15,20.17999983,1,1
Monday,936,45,F,18,23,24,12956,4,5.49000001,1,1
Monday,936,35,M,15,16,18,4607,1,1.149999976,1,1
Monday,936,35,M,16,17,21,13355,2,3.180000067,1,1
Monday,936,35,M,22,25,25,2793,1,0.980000019,1,1
Monday,936,40,M,2,7,6,4016,2,1.480000049,1,1
Monday,936,40,M,16,20,17,14843,3,2.939999938,1,1
Monday,936,45,M,10,14,13,9674,3,4.600000024,1,1
Friday,936,30,F,10,14,13,31393,8,10.96000051,1,1
Friday,936,30,F,15,21,18,8410,2,2.359999895,1,1
Thursday,936,35,F,27,29,28,10164,2,3.720000029,1,1
Saturday,936,40,F,16,17,19,41720,10,12.06000006,1,1
Friday,936,45,F,31,34,32,7821,4,6.340000153,1,1
Monday,936,45,F,19,22,20,3659,1,0.49000001,1,1
Tuesday,936,45,F,29,30,31,7550,1,1.679999948,1,1
Tuesday,936,45,F,28,33,29,45397,15,25.41999936,1,1
Tuesday,936,30,M,16,22,22,23086,2,3.310000062,1,1
Monday,936,45,F,65,68,68,12706,3,4.98999989,1,1
Wednesday,936,45,M,64,69,65,19353,6,9.4799999,1,1
Tuesday,936,30,M,16,19,22,15753,1,0.569999993,1,1
Tuesday,936,40,M,19,21,24,3523,1,1.809999943,1,1
Tuesday,936,30,M,10,11,12,7966,1,1.179999948,1,1
Sunday,936,30,M,10,16,16,8213,1,1.379999995,1,1
Tuesday,936,45,M,20,22,26,10257,3,3.579999924,1,1
Wednesday,936,35,M,10,11,15,9750,2,1.5,1,1
Wednesday,936,45,M,63,67,67,4333,1,0.180000007,1,1
Wednesday,936,40,M,27,31,28,11292,3,5.389999866,1,1
Thursday,936,30,M,65,66,67,2883,1,0.99000001,1,1
Thursday,936,40,M,29,31,34,19603,4,5.279999971,1,1
Friday,936,35,M,24,27,30,3029,1,1.049999952,1,1
Friday,936,45,M,26,29,28,3490,1,1.340000033,1,1
Wednesday,936,35,M,64,69,68,4726,1,1.830000043,1,1
Monday,936,30,M,26,32,31,11735,3,4.529999971,1,1
Monday,936,35,M,29,33,35,11446,2,3.090000033,1,1
Sunday,936,40,M,29,35,33,10090,2,2.650000095,1,1
Monday,936,40,M,32,35,38,9735,4,4.130000114,1,1
Tuesday,936,30,M,29,33,35,7629,1,0.720000029,1,1
Wednesday,936,30,M,28,32,32,7453,1,1.679999948,1,1
Wednesday,936,35,M,27,32,30,8077,2,3.579999924,1,1
Wednesday,936,30,M,26,29,29,6184,2,2.75,1,1
Tuesday,936,35,F,15,20,18,7116,2,1.730000019,1,1
Tuesday,936,45,M,10,14,13,11611,3,3.950000048,1,1
Tuesday,936,30,F,32,37,34,4402,1,1.330000043,1,1
Tuesday,936,30,F,18,22,24,5823,1,1.419999957,1,1
Monday,936,30,F,25,27,26,4971,1,1.230000019,1,1
Thursday,936,30,F,29,33,35,9076,1,1.379999995,1,1
Thursday,936,30,F,29,33,34,20941,4,5.909999967,1,1
Wednesday,936,45,F,16,17,17,16053,3,4.079999924,1,1
Wednesday,936,45,F,16,21,21,54724,12,17.92999995,1,1
Wednesday,936,40,F,32,38,36,8316,3,4.569999933,1,1
Saturday,936,35,F,10,13,15,7449,1,1.639999986,1,1
Friday,936,35,F,16,17,22,10186,1,1.230000019,1,1
Friday,936,30,M,20,25,22,3385,1,1.440000057,1,1
Sunday,936,30,M,24,30,28,5475,2,2.730000019,1,1
Sunday,936,30,F,18,24,20,8254,2,2.320000052,1,1
Monday,936,30,F,16,19,21,37873,5,6.169999957,1,1
Saturday,936,40,F,63,64,66,12318,5,6.340000153,1,1
Sunday,936,45,F,16,18,19,104578,29,39.25000095,1,1
Wednesday,936,35,F,64,70,67,5912,1,1.559999943,1,1
Tuesday,936,40,M,20,21,23,2367,2,2.839999914,1,1
Saturday,936,40,M,10,11,15,2967,1,1.5,1,1
Saturday,936,45,M,16,20,21,5894,1,1.539999962,1,1
Friday,936,35,F,22,28,28,4621,2,3.25,1,1
Friday,936,35,F,16,22,17,5775,1,1.580000043,1,1
Monday,936,45,F,16,20,19,7589,2,3.150000095,1,1
Tuesday,936,45,F,20,23,23,2077,1,1.50999999,1,1
